date,SPY_close,SPY_return,target_offensive_weight,current_mode,current_exposure,previous_mode,previous_exposure,switch_triggered,data_source,data_source_timestamp,target_weight_source,target_weight_source_valid_flag,pinned_research_endpoint,is_out_of_sample_extension,benchmark_update_flag,stream_row_validity_flag,blocking_warnings
2026-05-04,718.010009765625,0.0,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-05-04,verified_project_generated,pass,2026-05-01,True,pass,pass,
2026-05-05,723.77001953125,0.0080221858849922,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-05-05,verified_project_generated,pass,2026-05-01,True,pass,pass,
2026-05-06,733.8300170898438,0.0138994394450175,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-05-06,verified_project_generated,pass,2026-05-01,True,pass,pass,
2026-05-07,731.5800170898438,-0.0030661051573263,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-05-07,verified_project_generated,pass,2026-05-01,True,pass,pass,
2026-05-08,737.6199951171875,0.0082560730012422,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-05-08,verified_project_generated,pass,2026-05-01,True,pass,pass,
2026-05-11,739.2999877929688,0.0022775855954315,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-05-11,verified_project_generated,pass,2026-05-01,True,pass,pass,
2026-05-12,738.1799926757812,-0.0015149399914519,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-05-12,verified_project_generated,pass,2026-05-01,True,pass,pass,
2026-05-13,742.3099975585938,0.0055948480367802,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-05-13,verified_project_generated,pass,2026-05-01,True,pass,pass,
2026-05-14,748.1699829101562,0.0078942562687227,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-05-14,verified_project_generated,pass,2026-05-01,True,pass,pass,
2026-05-15,739.1699829101562,-0.0120293518927245,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-05-15,verified_project_generated,pass,2026-05-01,True,pass,pass,
2026-05-18,738.6500244140625,-0.0007034356211904,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-05-18,verified_project_generated,pass,2026-05-01,True,pass,pass,
2026-05-19,733.72998046875,-0.0066608593822431,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-05-19,verified_project_generated,pass,2026-05-01,True,pass,pass,
2026-05-20,741.25,0.0102490285683103,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-05-20,verified_project_generated,pass,2026-05-01,True,pass,pass,
2026-05-21,742.719970703125,0.0019830970699832,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-05-21,verified_project_generated,pass,2026-05-01,True,pass,pass,
2026-05-22,745.6400146484375,0.0039315543683955,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-05-22,verified_project_generated,pass,2026-05-01,True,pass,pass,
2026-05-26,750.5900268554688,0.0066386085909901,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-05-26,verified_project_generated,pass,2026-05-01,True,pass,pass,
2026-05-27,750.4600219726562,-0.0001732035840619,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-05-27,verified_project_generated,pass,2026-05-01,True,pass,pass,
2026-05-28,754.5999755859375,0.0055165545026623,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-05-28,verified_project_generated,pass,2026-05-01,True,pass,pass,
2026-05-29,756.47998046875,0.0024913927161906,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-05-29,verified_project_generated,pass,2026-05-01,True,pass,pass,
2026-06-01,758.5399780273438,0.0027231355908681,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-06-01,verified_project_generated,pass,2026-05-01,True,pass,pass,
2026-06-02,759.5700073242188,0.0013579103629497,1.0,offensive_spy,1.0,offensive_spy,1.0,False,data\fresh\phase15q_rule_generated_candidate_stream.csv,2026-06-02,verified_project_generated,pass,2026-05-01,True,pass,pass,
